id;person1_id;person2_id;marriage;separation;local;created_at;updated_at
1;1;4;1941-02-28;;;2023-05-15 01:36:51 UTC;2023-05-15 01:36:51 UTC
2;2;3;;;;2023-05-15 01:36:51 UTC;2023-05-15 01:36:51 UTC
3;6;80;1975-01-16;;;2023-05-15 01:36:51 UTC;2023-05-15 01:36:51 UTC
4;7;77;1972-07-22;;;2023-05-15 01:36:51 UTC;2023-05-15 01:36:51 UTC
5;8;73;1981-09-05;;;2023-05-15 01:36:52 UTC;2023-05-15 01:36:52 UTC
6;13;280;;;;2023-05-15 01:36:52 UTC;2023-05-15 01:36:52 UTC
7;14;15;;;;2023-05-15 01:36:52 UTC;2023-05-15 01:36:52 UTC
8;5;16;1962-05-12;;;2023-05-15 01:36:52 UTC;2023-05-15 01:36:52 UTC
9;19;148;;;;2023-05-15 01:36:52 UTC;2023-05-15 01:36:52 UTC
10;19;162;;;;2023-05-15 01:36:52 UTC;2023-05-15 01:36:52 UTC
11;20;42;1984-11-17;;;2023-05-15 01:36:52 UTC;2023-05-15 01:36:52 UTC
12;20;45;1957-01-14;;;2023-05-15 01:36:52 UTC;2023-05-15 01:36:52 UTC
13;25;28;1995-02-04;2007-02-04;;2023-05-15 01:36:52 UTC;2023-05-15 01:36:52 UTC
14;25;385;2017-03-25;;;2023-05-15 01:36:52 UTC;2023-05-15 01:36:52 UTC
15;24;27;2000-09-16;;;2023-05-15 01:36:52 UTC;2023-05-15 01:36:52 UTC
17;30;33;;;;2023-05-15 01:36:52 UTC;2023-05-15 01:36:52 UTC
18;30;35;2001-05-18;;;2023-05-15 01:36:52 UTC;2023-05-15 01:36:52 UTC
19;21;37;;;;2023-05-15 01:36:52 UTC;2023-05-15 01:36:52 UTC
20;38;40;;;;2023-05-15 01:36:52 UTC;2023-05-15 01:36:52 UTC
21;46;170;;;;2023-05-15 01:36:52 UTC;2023-05-15 01:36:52 UTC
22;47;87;;;;2023-05-15 01:36:52 UTC;2023-05-15 01:36:52 UTC
23;49;171;;;;2023-05-15 01:36:52 UTC;2023-05-15 01:36:52 UTC
24;53;234;;;;2023-05-15 01:36:52 UTC;2023-05-15 01:36:52 UTC
25;53;235;;;;2023-05-15 01:36:52 UTC;2023-05-15 01:36:52 UTC
26;54;176;;;;2023-05-15 01:36:53 UTC;2023-05-15 01:36:53 UTC
29;57;271;;;;2023-05-15 01:36:53 UTC;2023-05-15 01:36:53 UTC
30;60;180;;;;2023-05-15 01:36:53 UTC;2023-05-15 01:36:53 UTC
31;61;179;;;;2023-05-15 01:36:53 UTC;2023-05-15 01:36:53 UTC
32;10;66;1985-09-15;;;2023-05-15 01:36:53 UTC;2023-05-15 01:36:53 UTC
33;66;190;;;;2023-05-15 01:36:53 UTC;2023-05-15 01:36:53 UTC
34;9;69;1975-07-12;;;2023-05-15 01:36:53 UTC;2023-05-15 01:36:53 UTC
35;81;82;;;;2023-05-15 01:36:53 UTC;2023-05-15 01:36:53 UTC
36;48;93;;;;2023-05-15 01:36:53 UTC;2023-05-15 01:36:53 UTC
37;100;167;;;;2023-05-15 01:36:53 UTC;2023-05-15 01:36:53 UTC
38;101;166;;;;2023-05-15 01:36:53 UTC;2023-05-15 01:36:53 UTC
39;99;102;1944-06-17;;Uraí/PR;2023-05-15 01:36:53 UTC;2023-05-15 01:36:53 UTC
40;115;116;;;;2023-05-15 01:36:53 UTC;2023-05-15 01:36:53 UTC
41;117;314;;;;2023-05-15 01:36:53 UTC;2023-05-15 01:36:53 UTC
42;119;169;;;;2023-05-15 01:36:53 UTC;2023-05-15 01:36:53 UTC
43;120;122;;;;2023-05-15 01:36:53 UTC;2023-05-15 01:36:53 UTC
44;123;126;;;;2023-05-15 01:36:53 UTC;2023-05-15 01:36:53 UTC
45;121;128;;;;2023-05-15 01:36:53 UTC;2023-05-15 01:36:53 UTC
46;131;132;;;;2023-05-15 01:36:53 UTC;2023-05-15 01:36:53 UTC
47;134;315;1959-09-18;;Pompéia/SP;2023-05-15 01:36:53 UTC;2023-05-15 01:36:53 UTC
48;136;139;;;;2023-05-15 01:36:53 UTC;2023-05-15 01:36:53 UTC
49;48;141;;;;2023-05-15 01:36:53 UTC;2023-05-15 01:36:53 UTC
50;144;145;;;;2023-05-15 01:36:53 UTC;2023-05-15 01:36:53 UTC
51;17;147;;;;2023-05-15 01:36:53 UTC;2023-05-15 01:36:53 UTC
52;147;172;;;;2023-05-15 01:36:54 UTC;2023-05-15 01:36:54 UTC
53;155;156;;;;2023-05-15 01:36:54 UTC;2023-05-15 01:36:54 UTC
54;157;316;;;;2023-05-15 01:36:54 UTC;2023-05-15 01:36:54 UTC
55;162;163;;;;2023-05-15 01:36:54 UTC;2023-05-15 01:36:54 UTC
56;149;164;;;;2023-05-15 01:36:54 UTC;2023-05-15 01:36:54 UTC
57;150;165;1953-03-12;;Sorocaba/SP;2023-05-15 01:36:54 UTC;2023-05-15 01:36:54 UTC
58;18;168;;;;2023-05-15 01:36:54 UTC;2023-05-15 01:36:54 UTC
59;51;174;;;;2023-05-15 01:36:54 UTC;2023-05-15 01:36:54 UTC
60;52;175;;;;2023-05-15 01:36:54 UTC;2023-05-15 01:36:54 UTC
61;64;177;;;;2023-05-15 01:36:54 UTC;2023-05-15 01:36:54 UTC
62;63;178;;;;2023-05-15 01:36:54 UTC;2023-05-15 01:36:54 UTC
63;181;182;;;;2023-05-15 01:36:54 UTC;2023-05-15 01:36:54 UTC
64;185;186;;;;2023-05-15 01:36:54 UTC;2023-05-15 01:36:54 UTC
65;191;192;;;;2023-05-15 01:36:54 UTC;2023-05-15 01:36:54 UTC
66;65;195;;;;2023-05-15 01:36:54 UTC;2023-05-15 01:36:54 UTC
67;200;204;;;;2023-05-15 01:36:54 UTC;2023-05-15 01:36:54 UTC
68;201;206;;;;2023-05-15 01:36:54 UTC;2023-05-15 01:36:54 UTC
